Area,School,level,physical_address,ECD_Enrollment_Boys_and_Girls,Primary_Enrollment_Boys,Primary_Enrollment_Girls,ECD_Classes_Offered,Primary_Classes_Offered,Teachers_assigned,,,,,
Ovia Neast,YISA SCH.,,"Yisa Nomadic Sch. Ikhin Along Ose Rd, Ikhin.",0,35,49,0,6,9,,,,,
owan east,YISA NOMADIC SCH. IKHIN,,"Yisa Nomadic Sch. Ikhin Along Ose Rd, Ikhin.",0,35,49,0,6,3,,,,,
Esan NEAST,AFUDA PRI. SCH. UROMI,PE,"AFUDAEGBELE, UROMI",89,95,113,3,6,3,,,,,
Ovia Neast,AGBALOSUN P\S WARRAKE,,"IYAKHARA ROAD, WARRAKE",91,279,220,3,6,3,,,,,
Ovia Neast,ANAMAH P\S IGUE OKE,PE,"Anamah P\S Igue Oke, Along Otuo  Auchi Road",97,128,148,3,6,7,,,,,
Ovia Neast,ATEMONOKHAI P\S IKAO,P,U T H O  IKAO,90,147,142,3,6,6,,,,,
owan east,EAKA NOMADIC UROE,,EAKA NOMADIC SCHOOL UROE,0,72,34,3,6,3,,,,,
Ovia Neast,EKEKE PRIMARY SCHOOL ERAH,P,EKEKE PRIMARY SCHOOL EKEKE ERAH,12,74,80,3,6,3,,,,,
Ovia Neast,EKHAESE NOMADIC SCHOOL ,,EKHASE NOMADIC SCH. AROKHO,0,41,33,3,6,8,,,,,
Ovia Neast,EKHUEYE P\S EKHUEYE IHIEVBE,PE,EKHUEYE QUARTER,30,56,54,3,6,6,,,,,
Ovia Neast,EKPENGA P\S IKHIN,,EKPENGA P\S IKHIN,196,337,294,3,6,7,,,,,
Ovia Neast,EMOKPAIRE P\S UBUNEKE IVBIARO,,EMOKPAIRE P\S UBUNEDE  IVBIARO,82,122,99,3,6,6,,,,,
owan east,ESE P\S EBESE IVBIARO,,ESE P\S EBESE IVBIARO,109,231,129,3,6,9,,,,,
Ovia Neast,ESIORIRI P\S ESIORIRI ERAH,,ESIORIRI ERAH,73,124,102,3,6,7,,,,,
owan east,ETEYE PRIMARY SCHOOL ETEYE,,SABO ROAD,56,74,65,3,6,3,,,,,
Ovia Neast,EWEKA P\S UOKHA,P,"IDATTO QUARTER, UOKHA",212,264,246,3,6,3,,,,,
Ovia Neast,EWEVA P\S IGUE SALEH,,EWEVA P\S IMQUO QTRS IGUE  SALEH,150,407,360,3,6,9,,,,,
Ovia Neast,"INUMAI PRIMARY SCHOOL, IKAO",PE,ALONG OTUO AUCHI ROAD,120,159,164,3,6,3,,,,,
